Rank,Address,Address_Nametag,Quantity,Percentage
"1","0xed2ab4948ba6a909a7751dec4f34f303eb8c7236","franklinisbored.eth","61","6.0217%"
"2","0x90a27636185791da13e786a4a9dafcf2e2490f2e","xiorcal.eth","22","2.1718%"
"3","0x0678a9f258855ca974e2e0a7f5cb1be98486215d","","19","1.8756%"
"4","0xf890146713ffaf432ff070bb9f2749005052b318","midnightsmuse.eth","10","0.9872%"
"5","0xffc31d0726ede046d1356fceacfacffafa6bf7e1","","10","0.9872%"
"6","0x9a0f0a228cc558224d0a9cb3b92e3ff795080553","","10","0.9872%"
"7","0x6ce9f49239e8adaf5bda1154262a3a054fad9db3","Badges of Terrell Jones: Deployer","10","0.9872%"
"8","0x1324427e278bc9fc462aea1d7af289c3580be609","TRC® EDITIONS: Deployer","10","0.9872%"
"9","0x7d44b5bfcd927fa96a75003285aefba1e0293295","gamo.eth","10","0.9872%"
"10","0x87772ff7c65b5c93be52e3504670c6407271f829","dashers.eth","10","0.9872%"
"11","0x16950b325d69286795dc77de0e357387edb3fcdd","","10","0.9872%"
"12","0x43eed5b175de78fc9cf6372b10d4b96d0a4516d6","","10","0.9872%"
"13","0xd4d721accf818f611f23e4b0a332204325a2df1a","","10","0.9872%"
"14","0x864debda1ddf1a9e565a8cec92e2f6f383ac2c42","","10","0.9872%"
"15","0xb59cffbd4de4a6ef831d93162633dcc909f89d88","","10","0.9872%"
"16","0x8a518f0741acb6d91767cae892fef6268683023b","","10","0.9872%"
"17","0xfd22004806a6846ea67ad883356be810f0428793","genesis.punk6529.eth","10","0.9872%"
"18","0xa4a8d44646e2f4c4a74b892303a13c85fb876338","","10","0.9872%"
"19","0x1cbb87bb9a4dd0316189eede2277a58590dc124a","","10","0.9872%"
"20","0xcf74e42266de87aa1a3dfe1e1c5f46db0ac752b2","","10","0.9872%"
"21","0xf3f1984383a3fbb66898b846dc23602c04a9e56f","","10","0.9872%"
"22","0x8c31696de04076ed01ba6a61bf553fdec84e22a6","","10","0.9872%"
"23","0x6ef2376fa6e12dabb3a3ed0fb44e4ff29847af68","","10","0.9872%"
"24","0x597c7a2a8a3aa0ace889ec4c7198a88e6403f61a","","10","0.9872%"
"25","0x7a0acc8c8927f33adcd59591d596f813c952a644","laylafromtexas.eth","10","0.9872%"
"26","0xc322e8ec33e9b0a34c7cd185c616087d9842ad50","ldf.eth","10","0.9872%"
"27","0xc86b12d850fdbbf3260a7baae862f85857aadbba","Lil Baby","10","0.9872%"
"28","0x1353e148b500e4b45fa8f8716d81ef5f3cf4b414","","10","0.9872%"
"29","0x293ed38530005620e4b28600f196a97e1125daac","Mark Cuban 2","10","0.9872%"
"30","0x54b174179ae825ed630da40b625bb3c883cd40ae","","10","0.9872%"
"31","0x5f8b9b4541ecef965424f1db923806aad626add2","*trish🫧️.eth","10","0.9872%"
"32","0x8c2b143b0276bafd2613bb41d7058583cf6706c7","","10","0.9872%"
"33","0x4dfda666cce4b0f26c49900ded45f42f705398c7","benahorowitz.eth","10","0.9872%"
"34","0x7df89aa9e9665335b474b79a1640bcdabfb037af","","10","0.9872%"
"35","0xa2232d8fe1f848dae59f7bf90301b16c6d52381c","digigal.eth","10","0.9872%"
"36","0x02aeb12821c2c18a61373b1931de24b0c4f2e7f0","pauljudge.eth","10","0.9872%"
"37","0xeb1c22baacafac7836f20f684c946228401ff01c","richerd.eth","10","0.9872%"
"38","0x9bc30460c09cc0e284b03a73daad649e7686266b","","10","0.9872%"
"39","0x0864224f3cc570ab909ebf619f7583ef4a50b826","","10","0.9872%"
"40","0xe0fa212aafb8e4ed051767ffb755871c6af9b819","alexisohanian.eth","10","0.9872%"
"41","0x3c6aeff92b4b35c2e1b196b57d0f8ffb56884a17","","10","0.9872%"
"42","0x3becf83939f34311b6bee143197872d877501b11","Stephen Curry","10","0.9872%"
"43","0x049ae3487543dcd0d3ce5329d713e3a8e6aa1f20","","10","0.9872%"
"44","0x63422bc74f9e63e634936c561fc71ab711cb6e0c","","10","0.9872%"
"45","0x87a8c74dfa32e09700369584f5dfad1b5b653e2c","","10","0.9872%"
"46","0x333de39b80690a6db1626fb21471499c375b548c","","10","0.9872%"
"47","0x79dd8fab0661da2cd4131bb454bab060576ce2ee","cantino.eth","10","0.9872%"
"48","0xc12cf1b206162e481e9320a5090b8a14b24e45b3","","10","0.9872%"
"49","0x1ba6019fb018a800bc9a4bdd46baf36af0406cc4","","10","0.9872%"
"50","0xdcf0a934865b720eddc6983efc9b05351212bf43","","10","0.9872%"
